"Achmi","Agrsm","Amocan","Andge","Asctu","Elyca","Koecr","Lesca","Liaas","Luppe","Monfi","Panvi","Petpu","Poapr","Schsc","Sornu","Fobs"
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,150.574111111111
0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,131.500333333333
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,55.6388333333334
0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,37.3886666666667
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74.6666666666667
1,0,1,0,0,0,1,0,0,1,1,0,0,1,1,1,449.833333333333
0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,129.222333333333
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,82.9721666666667
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,308.833333333333
0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,48.9446666666667
0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,108.222333333333
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,68.8703333333333
0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,166.611
0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,211.777666666667
0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,258.166666666667
0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,373.75
1,1,1,0,0,0,1,1,0,0,1,0,0,1,1,0,243.722
0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,66.6666666666667
0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,294.388666666667
0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,127.361166666667
1,1,0,0,0,1,0,1,1,0,0,0,1,1,1,0,151.666666666667
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,171.861166666667
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,80.90275
0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,304.222333333333
0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,403.277666666667
0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,430.388666666667
0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,129.111
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,202.426
0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,184.333333333333
1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,249.055333333333
0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,288.277666666667
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,97.1666666666667
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.0556666666667
0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,94.6943333333333
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,65.3333333333333
0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,165.833
0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,486.389
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,378.055333333333
0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,194.889
1,1,0,0,0,1,1,0,1,0,1,1,0,0,1,0,253.055666666667
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,109.296333333333
0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,524.333333333333
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,457.333333333333
0,1,0,1,1,0,0,1,0,1,1,0,0,1,0,1,453.277666666667
1,1,0,0,0,0,1,1,0,1,0,1,0,1,1,0,490.444333333333
1,0,0,0,0,1,1,1,1,1,0,0,0,1,1,0,377.333333333333
0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,255.055666666667
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,81.6666666666667
0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,103.444666666667
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,101.722333333333
0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,418.555666666667
0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,291.444333333333
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,66.0556666666667
0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,290.833333333333
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,50.5833333333333
1,1,0,1,1,1,0,0,0,0,0,1,0,0,1,1,71.611
0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,169.777666666667
1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,76.2776666666667
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,179.777666666667
0,0,1,1,0,1,1,1,0,1,0,0,0,1,0,1,407.055666666667
0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,414.778
1,1,1,0,0,0,1,0,1,1,1,0,0,1,0,0,373.166666666667
0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,143.611
0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,60.3333333333333
0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,165.833333333333
0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,129.611
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,42.2776666666667
0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,70.222
0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,394.666333333333
