Plot,Achmi,Agrsm,Amocan,Andge,Asctu,Elyca,Koecr,Lesca,Liaas,Luppe,Monfi,Panvi,Petpu,Poapr,Schsc,Sornu,06.2001,08.2001,08.2002,07.2003,07.2004,07.2005,07.2006,08.2007,08.2009,08.2010,08.2011
2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,40.1223333333333,158.566666666667,148.977666666667,144.166666666667,79.1113333333333,139.233333333333,233.85,119.57,137.2725,134.13,158.38
3,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,39.5723333333333,93.489,125.483333333333,118.05,131.500333333333,128.266666666667,136.983333333333,148.97,50.6175,100.43,91.02
5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,38.272,49.0666666666667,77.2166666666667,80.6666666666667,48.833,105.305666666667,71.2666666666667,50.08,74.875,49.6,24.97
6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,35.9776666666667,53.7276666666667,73.4333333333333,38.778,37.3886666666667,46.7776666666667,63.6943333333333,38.25,44.5925,26.03,43.22
11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88.1946666666667,143.816666666667,107.188666666667,64.1166666666667,74.1666666666667,53.8003333333333,68.7886666666667,26.47,15.875,45.63,65.18
12,1,0,1,0,0,0,1,0,0,1,1,0,0,1,1,1,202.833,279.477666666667,340.277666666667,339.444333333333,449.833333333333,313.083333333333,242.605666666667,147.18,178.6325,170.08,284.93
14,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,101.339,115.761,165.833333333333,196.333,129.222333333333,100.761,77.7556666666667,245.97,62.575,75.93,159.73
16,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,33.6443333333333,56.8386666666667,105.327666666667,62.7776666666667,73.5553333333333,30.5496666666667,45.189,45.48,38.1825,40,32.4
20,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,145.666666666667,110.383333333333,240.055333333333,337.777666666667,180.444333333333,94.95,98.521,121.53,174.135,84.9,100.57
24,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,28.8443333333333,61.0943333333333,76.289,52.0223333333333,48.9446666666667,54.8613333333333,46.6223333333333,21.5,41.335,47.8,106.03
26,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,73.247,138.005333333333,176.5,114.944666666667,108.222333333333,132.533333333333,116.216666666667,115.6,181.8,135.6,231.87
29,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,104.911,212.483333333333,253.278,459.716333333333,182.666666666667,73.7386666666667,101.194333333333,150.53,196.985,97.3,164.48
31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,40.2943333333333,57.639,64.8446666666667,33.4443333333333,41,36.7276666666667,19.5723333333333,33.52,26.2275,42.72,46.2
33,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,57.0446666666667,136.478,180.789,190.055666666667,166.611,177.583333333333,149.627666666667,119.88,229.8925,193.62,314.27
44,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,105.055666666667,164.611,222.377666666667,217.666666666667,211.777666666667,183.622,144.178,194.28,259.9825,181.07,116.53
48,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,131.604333333333,189.594666666667,309.611,282.883333333333,258.166666666667,189.25,144.522333333333,170.75,212.375,132.45,173.28
56,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,287.239,203.327666666667,285.833333333333,434.555333333333,373.75,195.033,234.694333333333,260.97,286.6325,251.48,218.87
57,1,1,1,0,0,0,1,1,0,0,1,0,0,1,1,0,157.839,231.711,276.944333333333,328.444333333333,243.722,199.589,236.805666666667,213.57,152.8,257.08,371.45
58,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,55.017,74.6723333333333,166.411,89.0003333333333,66.6666666666667,58.372,87.817,83.9,124.2275,178.8,211.25
69,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67.3056666666667,122.155666666667,84.9446666666667,71.111,75.1666666666667,53.8333333333333,28.2613333333333,58.85,145.715,72.8,149.6
70,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,235.405333333333,182.144333333333,323.278,365.333666666667,294.388666666667,368.727666666667,242.822,213.03,148.7675,203.65,218.82
75,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,54.0556666666667,149.561,147.911333333333,101.889,131.166666666667,124.172333333333,86.4556666666667,86.62,80.9766666666667,109.12,85.07
81,1,1,0,0,0,1,0,1,1,0,0,0,1,1,1,0,76.4113333333333,213.111,212.616666666667,168.239,151.666666666667,140.955666666667,146,160.95,133.2975,202.73,398.48
83,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,202.878,269.883666666667,188.555666666667,343.666333333333,191.944666666667,86.7166666666667,116.283333333333,163.38,154.6175,177.25,123.32
87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,46.2666666666667,83.7943333333333,87.022,74.5556666666667,70.111,51.817,53.872,63.8,48.7,87.42,74.08
92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,55.7833333333333,82.039,112.666666666667,99.3336666666667,99.8333333333333,80.8003333333333,85.667,68.44,118.6,78.05,108.83
93,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,366.294333333333,377.661,324.222333333333,268.511,304.222333333333,188.005333333333,189.183333333333,178.48,260.7425,241.6,452.87
94,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,103.628,188.666666666667,199.555666666667,311.166666666667,189.944333333333,149.505666666667,230.694666666667,144,136.5775,150.6,165.73
109,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,42.2556666666667,85.8056666666667,127.944333333333,61.4446666666667,62.4446666666667,63.85,82.8166666666667,54.85,91.43,78.4,146.08
110,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,316.711,262.866666666667,278.555666666667,202.611333333333,403.277666666667,284.155666666667,207.694333333333,163.13,253.25,238.63,258.95
117,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,250.033333333333,289.839,160.005666666667,335.611,430.388666666667,148.505333333333,221.983666666667,189.17,122.275,143.43,127.1
125,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,112.561,190.877666666667,261.95,249.833333333333,129.111,173.811,165.711,126.85,189.0725,191.8,285.35
129,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,132.211333333333,161.594333333333,201.288666666667,205.444333333333,162.555666666667,164.972,132.08,124.63,126.51,112.9,207.63
133,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,116.939,200.272333333333,262.611,149.222333333333,184.333333333333,222.149666666667,158.339,141.8,280.335,359.32,207.83
135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,49.0776666666667,104.222,92.0556666666667,120,96.1666666666667,57.55,53.791,52.05,71.9775,63.65,73.82
137,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,173.389,183.888666666667,343.944333333333,629.388666666667,437.222333333333,374.27,195.183333333333,197.8,328.575,208.67,238.7
138,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,81.9833333333333,194.694333333333,381.611,217.444333333333,249.055333333333,171.172333333333,151.944333333333,209.42,304.8425,231.23,213.9
