"Year","Month","Plot","Strip","Achmi","Agrsm","Amocan","Andge","Asctu","Elyca","Koecr","Lesca","Liaas","Luppe","Monfi","Panvi","Petpu","Poapr","Schsc","Sornu","mean","sd"
2004,8,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,79.1113333333333,16.636842575708
2004,8,3,1,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,131.500333333333,17.1334630345285
2004,8,5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,48.833,9.41629792788369
2004,8,6,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,37.3886666666667,4.93911573282326
2004,8,11,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74.1666666666667,5.22983252334357
2004,8,12,1,1,0,1,0,0,0,1,0,0,1,1,0,0,1,1,1,449.833333333333,54.6525432304441
2004,8,14,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,129.222333333333,37.3197997970098
2004,8,16,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,73.5553333333333,11.9762903642526
2004,8,20,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,180.444333333333,35.3231019431885
2004,8,24,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,48.9446666666667,8.68849033044419
2004,8,26,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,108.222333333333,11.3528905374603
2004,8,29,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,182.666666666667,24.2638307271452
2004,8,31,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,41,9.54597258882858
2004,8,33,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,166.611,49.9049820625824
2004,8,44,1,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,211.777666666667,13.1588448412296
2004,8,48,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,258.166666666667,93.0918604473858
2004,8,56,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,373.75,42.1398852157905
2004,8,57,1,1,1,1,0,0,0,1,1,0,0,1,0,0,1,1,0,243.722,47.9452775776718
2004,8,58,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,66.6666666666667,10.5995038353479
2004,8,69,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75.1666666666667,7.76029781788188
2004,8,70,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,294.388666666667,37.558982914285
2004,8,75,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,131.166666666667,76.1630213088274
2004,8,81,1,1,1,0,0,0,1,0,1,1,0,0,0,1,1,1,0,151.666666666667,33.1130761918745
2004,8,83,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,191.944666666667,26.1094337527433
2004,8,87,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,70.111,23.6426148018079
2004,8,92,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,99.8333333333333,8.10692433801021
2004,8,93,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,304.222333333333,36.6809377954757
2004,8,94,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,189.944333333333,12.0832058751898
2004,8,109,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,62.4446666666667,11.1598176906654
2004,8,110,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,403.277666666667,39.5542858725687
2004,8,117,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,430.388666666667,20.9365755928603
2004,8,125,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,129.111,19.7279152978717
2004,8,129,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,162.555666666667,34.8777979554648
2004,8,133,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,184.333333333333,54.2185990371898
2004,8,135,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,96.1666666666667,18.9153680435307
2004,8,137,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,437.222333333333,31.544178505004
2004,8,138,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,249.055333333333,39.3069739048372
2004,8,139,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,288.277666666667,26.948756128788
2004,8,142,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,106.611,23.3420502241484
2004,8,153,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.9446666666667,7.87687739878917
2004,8,157,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,84.1666666666667,16.583852032089
2004,8,163,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,73.0556666666667,16.9017118725359
2004,8,165,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,65.3333333333333,13.5692230760972
2004,8,167,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,226.611333333333,18.5294863453422
2004,8,168,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,165.833,10.4642247682282
2004,8,171,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,486.389,61.059210891287
2004,8,175,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,378.055333333333,66.2742901198413
2004,8,176,1,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,194.889,8.50712846186459
