Year,Month,Plot,Strip,Achmi,Agrsm,Amocan,Andge,Asctu,Elyca,Koecr,Lesca,Liaas,Luppe,Monfi,Panvi,Petpu,Poapr,Schsc,Sornu,mean,sd,,
2005,7,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,139.233333333333,23.2681860392158,,
2005,7,3,1,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,128.266666666667,32.9104180296892,,
2005,7,5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,105.305666666667,24.5581208066813,,
2005,7,6,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,46.7776666666667,11.6365314515203,,
2005,7,11,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.8003333333333,5.14624998313227,,
2005,7,12,1,1,0,1,0,0,0,1,0,0,1,1,0,0,1,1,1,313.083333333333,79.1785392739444,,
2005,7,14,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,100.761,13.3658747811981,,
2005,7,16,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,30.5496666666667,4.42141254452566,,
2005,7,20,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,94.95,28.1930357830913,,
2005,7,24,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,54.8613333333333,9.60560760990972,,
2005,7,26,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,132.533333333333,25.0480454637793,,
2005,7,29,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,73.7386666666667,26.7076892340431,,
2005,7,31,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,36.7276666666667,8.47539955138137,,
2005,7,33,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,177.583333333333,18.9789211553824,,
2005,7,44,1,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,183.622,10.8295956526548,,
2005,7,48,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,189.25,57.9746640065009,,
