"Year","Month","Plot","Strip","Achmi","Agrsm","Amocan","Andge","Asctu","Elyca","Koecr","Lesca","Liaas","Luppe","Monfi","Panvi","Petpu","Poapr","Schsc","Sornu","biomass","error"
2009,8,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,137.33,0.00135505561810365
2009,8,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,72.03,-1.53751680285427
2009,8,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,190.13,1.24564960580709
2009,8,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,149.6,0.290512141429067
2009,8,3,1,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,36,-0.812150553166622
2009,8,3,1,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,60.67,0.558518449509661
2009,8,3,2,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,30.87,-1.09717414391366
2009,8,3,2,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,74.93,1.35080624757062
2009,8,5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,47.97,-0.65809816984521
2009,8,5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,124.77,1.22043516760553
2009,8,5,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,103.43,0.698457284517003
2009,8,5,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,23.33,-1.26079428227732
2009,8,6,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,62,1.57461627651062
2009,8,6,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,31.27,-1.20510270537485
2009,8,6,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,42.5,-0.189279595496106
2009,8,6,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,42.6,-0.180233975639662
2009,8,11,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.87,-0.277493500606771
2009,8,11,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,-1.36670739076901
2009,8,11,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.53,0.229053238655464
2009,8,11,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.1,1.41514765272031
2009,8,12,1,1,0,1,0,0,0,1,0,0,1,1,0,0,1,1,1,205.83,0.662980049968177
2009,8,12,1,1,0,1,0,0,0,1,0,0,1,1,0,0,1,1,1,111.37,-1.63962480415422
2009,8,12,2,1,0,1,0,0,0,1,0,0,1,1,0,0,1,1,1,180.43,0.0438167713877307
2009,8,12,2,1,0,1,0,0,0,1,0,0,1,1,0,0,1,1,1,216.9,0.932827982798316
2009,8,14,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,33.17,-1.35898924257705
2009,8,14,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,60.13,-0.112998765451484
2009,8,14,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,62.77,0.00901217147772575
2009,8,14,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,94.23,1.46297583655081
2009,8,16,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,53.4,0.811747881464358
2009,8,16,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,25.03,-0.70159448075965
2009,8,16,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,14.8,-1.24729389442026
2009,8,16,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,59.5,1.13714049371556
2009,8,20,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,182.87,1
2009,8,20,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,165.4,-0.999999999999998
2009,8,24,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,23.1,-0.642918879163976
2009,8,24,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,22.87,-0.651028083562534
2009,8,24,2,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,29.1,-0.431374416592884
2009,8,24,2,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,90.27,1.72532137931939
2009,8,26,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,170.47,-0.439101475261803
2009,8,26,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,179.47,-0.0903006564307155
2009,8,26,2,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,153.73,-1.08787099828763
2009,8,26,2,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,223.53,1.61727312998014
2009,8,29,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,205.63,0.174869679694091
2009,8,29,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,114.97,-1.6589863250562
2009,8,29,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,245.57,0.982769622664825
2009,8,29,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,221.77,0.501347022697287
2009,8,31,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,29.8,0.512316481303466
2009,8,31,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,18.77,-1.06944721044663
2009,8,31,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,35.87,1.38278843134182
2009,8,31,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,20.47,-0.825657702198658
2009,8,33,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,234.2,0.146834072257208
2009,8,33,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,197.8,-1.09396923132083
2009,8,33,2,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,212.1,-0.606510790629458
2009,8,33,2,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,275.47,1.55364594969308
2009,8,44,1,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,147.07,-1.05106440173753
2009,8,44,1,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,215.2,-0.416865197128849
2009,8,44,2,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,241.43,-0.172698968787651
2009,8,44,2,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,436.23,1.64062856765403
2009,8,48,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,223.6,0.21588375527628
2009,8,48,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,238.97,0.511485832656808
2009,8,48,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,125.4,-1.67273849578214
2009,8,48,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,261.53,0.945368907849047
2009,8,56,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,274.63,-0.0806190314452581
2009,8,56,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,525,1.60107952326828
2009,8,56,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,118.33,-1.13046319848494
2009,8,56,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,228.57,-0.389997293338079
2009,8,57,1,1,1,1,0,0,0,1,1,0,0,1,0,0,1,1,0,191.2,1.25662567542899
2009,8,57,1,1,1,1,0,0,0,1,1,0,0,1,0,0,1,1,0,170.37,0.574971695762694
2009,8,57,2,1,1,1,0,0,0,1,1,0,0,1,0,0,1,1,0,138.7,-0.461417240196585
2009,8,57,2,1,1,1,0,0,0,1,1,0,0,1,0,0,1,1,0,110.93,-1.37018013099511
2009,8,58,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,126.7,0.0530276149078301
2009,8,58,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,83.27,-0.878413968690574
