combination,SL68,SL104,SL106,SL187,SL197,SLWC2,t8,t16,t24,t32,t40,t48
1,1,0,0,0,0,0,0.033,0.384,0.621,0.780,0.964,1.041
2,0,1,0,0,0,0,0.337,0.639,0.894,1.085,1.270,1.389
3,0,0,1,0,0,0,0.067,0.196,0.260,0.326,0.357,0.419
4,0,0,0,1,0,0,0.477,0.455,0.666,0.829,1.146,1.487
5,0,0,0,0,1,0,0.235,0.426,0.552,0.681,0.767,0.860
6,0,0,0,0,0,1,0.095,0.167,0.217,0.261,0.334,0.438
7,1,1,0,0,0,0,0.122,0.534,0.771,1.069,1.288,1.493
8,1,0,1,0,0,0,0.053,0.320,0.596,0.875,1.062,1.121
9,1,0,0,1,0,0,0.140,0.259,0.601,0.809,0.980,1.123
10,1,0,0,0,1,0,0.114,0.380,0.520,0.720,0.888,0.929
11,1,0,0,0,0,1,0.047,0.262,0.511,0.718,0.894,1.059
12,0,1,1,0,0,0,0.263,0.439,0.692,0.938,1.139,1.291
13,0,1,0,1,0,0,0.423,0.680,0.965,1.234,1.348,1.463
14,0,1,0,0,1,0,0.206,0.393,0.538,0.663,0.774,0.893
15,0,1,0,0,0,1,0.243,0.464,0.642,0.872,1.039,1.204
16,0,0,1,1,0,0,0.261,0.405,0.468,0.574,0.678,0.887
17,0,0,1,0,1,0,0.055,0.244,0.508,0.686,0.821,0.934
18,0,0,1,0,0,1,0.052,0.167,0.236,0.294,0.341,0.393
19,0,0,0,1,1,0,0.287,0.483,0.657,0.863,1.176,1.451
20,0,0,0,1,0,1,0.193,0.237,0.314,0.401,0.536,0.695
21,0,0,0,0,1,1,0.126,0.325,0.415,0.559,0.693,0.828
22,1,1,1,0,0,0,0.106,0.398,0.578,0.734,0.893,1.046
23,1,1,0,1,0,0,0.143,0.441,0.824,1.083,1.332,1.517
24,1,1,0,0,1,0,0.112,0.489,0.721,0.963,1.174,1.312
25,1,1,0,0,0,1,0.125,0.372,0.599,0.820,1.028,1.211
26,1,0,1,1,0,0,0.119,0.356,0.492,0.619,0.684,0.703
27,1,0,1,0,1,0,0.139,0.367,0.453,0.673,0.814,0.921
28,1,0,1,0,0,1,0.075,0.285,0.448,0.709,0.872,1.030
29,1,0,0,1,1,0,0.169,0.450,0.683,0.912,1.102,1.226
30,1,0,0,1,0,1,0.127,0.341,0.543,0.720,0.873,0.970
31,1,0,0,0,1,1,0.101,0.346,0.506,0.718,0.917,1.027
32,0,1,1,1,0,0,0.297,0.472,0.684,0.990,1.190,1.341
33,0,1,1,0,1,0,0.085,0.394,0.668,0.876,1.050,1.178
34,0,1,1,0,0,1,0.202,0.435,0.589,0.812,0.949,1.040
35,0,1,0,1,1,0,0.343,0.607,0.704,1.051,1.245,1.486
36,0,1,0,1,0,1,0.335,0.544,0.768,0.946,1.117,1.300
37,0,1,0,0,1,1,0.123,0.384,0.511,0.643,0.803,0.952
38,0,0,1,1,1,0,0.266,0.434,0.580,0.734,0.957,1.155
39,0,0,1,1,0,1,0.149,0.244,0.369,0.459,0.561,0.624
40,0,0,1,0,1,1,0.045,0.248,0.423,0.602,0.742,0.840
41,0,0,0,1,1,1,0.224,0.400,0.546,0.682,0.927,1.071
42,1,1,1,1,0,0,0.242,0.491,0.712,0.854,0.997,1.151
43,1,1,1,0,1,0,0.088,0.328,0.613,0.860,1.069,1.290
44,1,1,1,0,0,1,0.124,0.426,0.602,0.784,0.950,1.112
45,1,1,0,1,1,0,0.202,0.506,0.691,0.831,1.012,1.141
46,1,1,0,1,0,1,0.123,0.400,0.588,0.715,0.871,1.058
47,1,1,0,0,1,1,0.146,0.402,0.604,0.745,0.870,0.997
48,1,0,1,1,1,0,0.258,0.490,0.747,0.883,1.005,1.149
49,1,0,1,1,0,1,0.087,0.309,0.529,0.757,0.853,1.037
50,1,0,1,0,1,1,0.108,0.322,0.494,0.666,0.829,0.949
51,1,0,0,1,1,1,0.099,0.344,0.652,0.872,1.068,1.196
52,0,1,1,1,1,0,0.157,0.388,0.556,0.836,1.043,1.200
53,0,1,1,1,0,1,0.212,0.418,0.638,0.885,1.005,1.141
54,0,1,1,0,1,1,0.103,0.365,0.511,0.834,1.007,1.163
55,0,1,0,1,1,1,0.189,0.481,0.633,0.923,1.173,1.394
56,0,0,1,1,1,1,0.166,0.309,0.455,0.586,0.763,0.906
57,1,1,1,1,1,0,0.086,0.396,0.710,0.903,1.082,1.288
58,1,1,1,1,0,1,0.120,0.450,0.646,0.837,1.030,1.207
59,1,1,1,0,1,1,0.114,0.359,0.537,0.705,0.854,0.923
60,1,1,0,1,1,1,0.153,0.444,0.612,0.780,1.009,1.145
61,1,0,1,1,1,1,0.154,0.349,0.505,0.630,0.752,0.862
62,0,1,1,1,1,1,0.099,0.327,0.605,0.781,0.988,1.228
63,1,1,1,1,1,1,0.180,0.448,0.574,0.781,0.933,1.044
