combination,SL68,SL104,SL106,SL187,SL197,SLWC2,t8,t16,t24,t32,t40,t48
1,1,0,0,0,0,0,0.032,0.220,0.412,0.679,0.817,0.989
2,0,1,0,0,0,0,0.252,0.549,0.739,0.885,0.950,1.138
3,0,0,1,0,0,0,0.069,0.192,0.214,0.272,0.311,0.335
4,0,0,0,1,0,0,0.398,0.537,0.622,0.663,0.735,0.851
5,0,0,0,0,1,0,0.205,0.411,0.509,0.657,0.747,0.849
6,0,0,0,0,0,1,0.036,0.143,0.233,0.307,0.418,0.544
7,1,1,0,0,0,0,0.138,0.407,0.730,0.880,0.936,1.167
8,1,0,1,0,0,0,0.046,0.304,0.575,0.713,0.785,1.040
9,1,0,0,1,0,0,0.091,0.277,0.487,0.652,0.947,1.061
10,1,0,0,0,1,0,0.082,0.421,0.611,0.787,0.942,1.071
11,1,0,0,0,0,1,0.115,0.355,0.471,0.751,0.928,1.082
12,0,1,1,0,0,0,0.235,0.391,0.673,0.892,1.191,1.374
13,0,1,0,1,0,0,0.293,0.596,0.820,1.035,1.237,1.397
14,0,1,0,0,1,0,0.122,0.340,0.501,0.610,0.731,0.861
15,0,1,0,0,0,1,0.253,0.476,0.679,0.834,1.074,1.099
16,0,0,1,1,0,0,0.112,0.165,0.266,0.356,0.479,0.684
17,0,0,1,0,1,0,0.057,0.214,0.429,0.590,0.700,0.801
18,0,0,1,0,0,1,0.039,0.152,0.255,0.349,0.431,0.544
19,0,0,0,1,1,0,0.128,0.401,0.575,0.792,0.982,1.161
20,0,0,0,1,0,1,0.111,0.193,0.306,0.463,0.572,0.684
21,0,0,0,0,1,1,0.055,0.270,0.487,0.668,0.797,0.949
22,1,1,1,0,0,0,0.112,0.395,0.695,0.916,1.069,1.185
23,1,1,0,1,0,0,0.217,0.470,0.778,0.995,1.230,1.496
24,1,1,0,0,1,0,0.131,0.451,0.760,0.993,1.141,1.190
25,1,1,0,0,0,1,0.146,0.456,0.629,0.873,1.053,1.216
26,1,0,1,1,0,0,0.121,0.356,0.537,0.678,0.772,0.889
27,1,0,1,0,1,0,0.058,0.301,0.515,0.804,0.971,1.117
28,1,0,1,0,0,1,0.045,0.307,0.568,0.768,0.894,1.135
29,1,0,0,1,1,0,0.094,0.372,0.525,0.656,0.806,0.959
30,1,0,0,1,0,1,0.092,0.327,0.453,0.567,0.684,0.846
31,1,0,0,0,1,1,0.130,0.356,0.515,0.690,0.847,0.909
32,0,1,1,1,0,0,0.281,0.552,0.670,0.903,1.048,1.229
33,0,1,1,0,1,0,0.121,0.483,0.667,0.880,1.017,1.195
34,0,1,1,0,0,1,0.195,0.433,0.612,0.854,1.070,1.260
35,0,1,0,1,1,0,0.182,0.460,0.724,0.862,1.101,1.356
36,0,1,0,1,0,1,0.262,0.527,0.727,0.894,1.071,1.227
37,0,1,0,0,1,1,0.105,0.359,0.614,0.734,0.771,0.967
38,0,0,1,1,1,0,0.205,0.380,0.513,0.630,0.736,0.914
39,0,0,1,1,0,1,0.110,0.222,0.292,0.429,0.527,0.603
40,0,0,1,0,1,1,0.055,0.241,0.375,0.555,0.664,0.764
41,0,0,0,1,1,1,0.095,0.286,0.504,0.664,0.858,1.011
42,1,1,1,1,0,0,0.203,0.462,0.659,0.834,0.976,1.136
43,1,1,1,0,1,0,0.125,0.412,0.609,0.961,1.073,1.232
44,1,1,1,0,0,1,0.161,0.429,0.620,0.778,0.905,1.035
45,1,1,0,1,1,0,0.186,0.528,0.689,0.839,0.997,1.100
46,1,1,0,1,0,1,0.102,0.377,0.655,0.888,1.123,1.350
47,1,1,0,0,1,1,0.138,0.443,0.631,0.772,0.911,1.064
48,1,0,1,1,1,0,0.190,0.465,0.630,0.819,0.952,1.136
49,1,0,1,1,0,1,0.065,0.332,0.535,0.749,0.920,1.042
50,1,0,1,0,1,1,0.050,0.287,0.542,0.823,0.995,1.150
51,1,0,0,1,1,1,0.078,0.307,0.621,0.931,1.025,1.155
52,0,1,1,1,1,0,0.105,0.326,0.608,0.816,0.983,1.113
53,0,1,1,1,0,1,0.162,0.391,0.558,0.733,0.883,1.021
54,0,1,1,0,1,1,0.062,0.250,0.489,0.651,0.792,0.938
55,0,1,0,1,1,1,0.101,0.366,0.572,0.713,0.875,1.071
56,0,0,1,1,1,1,0.137,0.313,0.436,0.545,0.685,0.750
57,1,1,1,1,1,0,0.105,0.354,0.643,0.869,1.033,1.172
58,1,1,1,1,0,1,0.184,0.495,0.676,0.869,1.047,1.118
59,1,1,1,0,1,1,0.093,0.363,0.501,0.648,0.771,0.887
60,1,1,0,1,1,1,0.097,0.358,0.608,0.808,0.915,1.159
61,1,0,1,1,1,1,0.103,0.303,0.491,0.613,0.783,0.892
62,0,1,1,1,1,1,0.117,0.318,0.539,0.727,0.959,1.099
63,1,1,1,1,1,1,0.116,0.376,0.641,0.887,1.058,1.264
