combination,SL68,SL104,SL106,SL187,SL197,SLWC2,t8,t16,t24,t32,t40,t48
1,1,0,0,0,0,0,0.028,0.205,0.511,0.644,0.777,1.085
2,0,1,0,0,0,0,0.259,0.553,0.679,0.938,1.048,1.236
3,0,0,1,0,0,0,0.096,0.175,0.271,0.298,0.312,0.305
4,0,0,0,1,0,0,0.425,0.495,0.555,0.670,0.838,1.057
5,0,0,0,0,1,0,0.244,0.456,0.630,0.718,0.787,0.864
6,0,0,0,0,0,1,0.042,0.138,0.215,0.305,0.416,0.545
7,1,1,0,0,0,0,0.152,0.493,0.713,0.912,1.081,1.279
8,1,0,1,0,0,0,0.049,0.319,0.561,0.660,0.741,0.930
9,1,0,0,1,0,0,0.120,0.315,0.581,0.874,0.900,1.043
10,1,0,0,0,1,0,0.087,0.410,0.548,0.702,0.837,1.004
11,1,0,0,0,0,1,0.131,0.317,0.531,0.703,0.880,1.014
12,0,1,1,0,0,0,0.227,0.420,0.651,0.870,1.077,1.297
13,0,1,0,1,0,0,0.405,0.725,0.890,1.123,1.285,1.367
14,0,1,0,0,1,0,0.162,0.406,0.556,0.701,0.858,0.966
15,0,1,0,0,0,1,0.235,0.458,0.675,0.887,1.047,1.260
16,0,0,1,1,0,0,0.130,0.221,0.350,0.490,0.549,0.840
17,0,0,1,0,1,0,0.088,0.276,0.454,0.601,0.722,0.830
18,0,0,1,0,0,1,0.042,0.154,0.233,0.330,0.440,0.574
19,0,0,0,1,1,0,0.184,0.514,0.691,0.835,1.085,1.398
20,0,0,0,1,0,1,0.137,0.232,0.328,0.516,0.643,0.835
21,0,0,0,0,1,1,0.047,0.297,0.500,0.668,0.812,0.940
22,1,1,1,0,0,0,0.139,0.444,0.722,0.975,1.122,1.351
23,1,1,0,1,0,0,0.263,0.557,0.782,1.015,1.325,1.560
24,1,1,0,0,1,0,0.160,0.539,0.701,1.047,1.191,1.382
25,1,1,0,0,0,1,0.166,0.439,0.643,0.789,0.932,1.135
26,1,0,1,1,0,0,0.158,0.374,0.520,0.606,0.691,0.783
27,1,0,1,0,1,0,0.052,0.332,0.572,0.783,0.883,1.044
28,1,0,1,0,0,1,0.040,0.271,0.519,0.746,0.871,1.092
29,1,0,0,1,1,0,0.190,0.460,0.613,0.802,0.985,1.091
30,1,0,0,1,0,1,0.165,0.394,0.526,0.714,0.884,0.973
31,1,0,0,0,1,1,0.137,0.364,0.476,0.608,0.786,0.922
32,0,1,1,1,0,0,0.402,0.611,0.802,0.921,1.022,1.185
33,0,1,1,0,1,0,0.121,0.413,0.570,0.771,0.987,1.131
34,0,1,1,0,0,1,0.175,0.446,0.606,0.726,1.021,1.227
35,0,1,0,1,1,0,0.187,0.451,0.691,0.883,1.067,1.234
36,0,1,0,1,0,1,0.288,0.473,0.680,0.887,1.063,1.276
37,0,1,0,0,1,1,0.139,0.409,0.647,0.836,0.934,1.119
38,0,0,1,1,1,0,0.247,0.427,0.563,0.664,0.779,1.010
39,0,0,1,1,0,1,0.175,0.295,0.382,0.469,0.591,0.660
40,0,0,1,0,1,1,0.083,0.287,0.419,0.542,0.638,0.712
41,0,0,0,1,1,1,0.112,0.378,0.510,0.687,0.817,1.073
42,1,1,1,1,0,0,0.241,0.531,0.744,0.867,1.019,1.209
43,1,1,1,0,1,0,0.149,0.436,0.728,0.940,1.124,1.237
44,1,1,1,0,0,1,0.174,0.446,0.546,0.859,1.023,1.187
45,1,1,0,1,1,0,0.154,0.480,0.649,0.794,0.939,1.103
46,1,1,0,1,0,1,0.138,0.434,0.690,0.921,1.196,1.410
47,1,1,0,0,1,1,0.158,0.461,0.643,0.788,0.967,1.049
48,1,0,1,1,1,0,0.213,0.516,0.718,0.804,1.016,1.159
49,1,0,1,1,0,1,0.094,0.344,0.527,0.797,0.898,0.917
50,1,0,1,0,1,1,0.064,0.322,0.569,0.917,1.102,1.293
51,1,0,0,1,1,1,0.079,0.308,0.543,0.722,0.875,0.989
52,0,1,1,1,1,0,0.115,0.357,0.600,0.793,0.948,1.070
53,0,1,1,1,0,1,0.255,0.465,0.663,0.811,0.972,1.101
54,0,1,1,0,1,1,0.069,0.250,0.488,0.685,0.812,0.965
55,0,1,0,1,1,1,0.105,0.359,0.526,0.668,0.892,1.007
56,0,0,1,1,1,1,0.173,0.325,0.450,0.550,0.669,0.806
57,1,1,1,1,1,0,0.145,0.479,0.636,0.916,1.085,1.150
58,1,1,1,1,0,1,0.188,0.440,0.630,0.787,0.905,0.994
59,1,1,1,0,1,1,0.135,0.395,0.502,0.650,0.781,0.844
60,1,1,0,1,1,1,0.116,0.367,0.648,0.924,1.116,1.288
61,1,0,1,1,1,1,0.142,0.351,0.523,0.677,0.814,0.946
62,0,1,1,1,1,1,0.146,0.335,0.588,0.827,0.990,1.174
63,1,1,1,1,1,1,0.099,0.340,0.656,0.869,1.009,1.166
