combination,SL68,SL104,SL106,SL187,SL197,SLWC2,t8,t16,t24,t32,t40,t48
1,1,0,0,0,0,0,0.031,0.348,0.477,0.641,0.679,0.724
2,0,1,0,0,0,0,0.353,0.652,0.913,1.107,1.280,1.348
3,0,0,1,0,0,0,0.053,0.147,0.202,0.251,0.278,0.305
4,0,0,0,1,0,0,0.247,0.296,0.247,0.330,0.531,0.746
5,0,0,0,0,1,0,0.178,0.447,0.525,0.608,0.669,0.791
6,0,0,0,0,0,1,0.097,0.175,0.247,0.306,0.419,0.498
7,1,1,0,0,0,0,0.168,0.589,0.847,1.042,1.275,1.437
8,1,0,1,0,0,0,0.050,0.314,0.585,0.725,0.885,0.979
9,1,0,0,1,0,0,0.104,0.297,0.559,0.817,0.864,0.947
10,1,0,0,0,1,0,0.156,0.436,0.588,0.807,0.949,1.032
11,1,0,0,0,0,1,0.040,0.241,0.425,0.596,0.746,0.926
12,0,1,1,0,0,0,0.160,0.436,0.708,0.899,0.994,1.125
13,0,1,0,1,0,0,0.359,0.754,0.995,1.178,1.305,1.402
14,0,1,0,0,1,0,0.111,0.361,0.604,0.859,1.011,1.084
15,0,1,0,0,0,1,0.186,0.461,0.724,0.962,1.054,1.142
16,0,0,1,1,0,0,0.118,0.259,0.334,0.386,0.443,0.571
17,0,0,1,0,1,0,0.147,0.306,0.444,0.635,0.742,0.832
18,0,0,1,0,0,1,0.119,0.190,0.255,0.302,0.370,0.442
19,0,0,0,1,1,0,0.325,0.537,0.706,0.806,1.091,1.394
20,0,0,0,1,0,1,0.121,0.220,0.321,0.428,0.543,0.680
21,0,0,0,0,1,1,0.188,0.352,0.479,0.569,0.660,0.789
22,1,1,1,0,0,0,0.191,0.468,0.692,0.827,0.939,1.090
23,1,1,0,1,0,0,0.122,0.430,0.808,0.911,1.120,1.253
24,1,1,0,0,1,0,0.131,0.463,0.793,1.022,1.137,1.155
25,1,1,0,0,0,1,0.128,0.336,0.447,0.609,0.685,0.779
26,1,0,1,1,0,0,0.171,0.383,0.504,0.598,0.711,0.802
27,1,0,1,0,1,0,0.059,0.299,0.477,0.624,0.707,0.828
28,1,0,1,0,0,1,0.200,0.482,0.671,0.852,0.976,1.093
29,1,0,0,1,1,0,0.126,0.367,0.549,0.734,0.884,1.035
30,1,0,0,1,0,1,0.166,0.388,0.532,0.786,0.952,1.128
31,1,0,0,0,1,1,0.226,0.508,0.751,0.962,1.130,1.341
32,0,1,1,1,0,0,0.170,0.482,0.682,0.996,1.165,1.376
33,0,1,1,0,1,0,0.127,0.402,0.685,0.837,0.984,1.094
34,0,1,1,0,0,1,0.289,0.588,0.806,0.967,1.138,1.322
35,0,1,0,1,1,0,0.202,0.433,0.729,0.950,1.032,1.128
36,0,1,0,1,0,1,0.240,0.448,0.614,0.804,0.944,1.051
37,0,1,0,0,1,1,0.227,0.421,0.510,0.677,0.812,1.009
38,0,0,1,1,1,0,0.124,0.259,0.340,0.416,0.535,0.628
39,0,0,1,1,0,1,0.075,0.264,0.393,0.539,0.641,0.710
40,0,0,1,0,1,1,0.215,0.373,0.495,0.638,0.829,0.976
41,0,0,0,1,1,1,0.120,0.400,0.714,0.935,1.214,1.451
42,1,1,1,1,0,0,0.132,0.323,0.557,0.780,0.962,1.072
43,1,1,1,0,1,0,0.089,0.357,0.684,0.959,1.180,1.315
44,1,1,1,0,0,1,0.135,0.422,0.771,1.093,1.246,1.353
45,1,1,0,1,1,0,0.177,0.470,0.684,0.822,0.966,1.105
46,1,1,0,1,0,1,0.126,0.418,0.724,0.979,1.188,1.288
47,1,1,0,0,1,1,0.212,0.522,0.824,0.973,1.146,1.227
48,1,0,1,1,1,0,0.062,0.213,0.481,0.716,0.897,1.092
49,1,0,1,1,0,1,0.137,0.366,0.470,0.642,0.764,0.834
50,1,0,1,0,1,1,0.081,0.410,0.713,0.944,1.113,1.301
51,1,0,0,1,1,1,0.191,0.478,0.738,0.921,1.134,1.273
52,0,1,1,1,1,0,0.235,0.502,0.727,0.844,0.917,1.211
53,0,1,1,1,0,1,0.139,0.344,0.590,0.859,1.000,1.265
54,0,1,1,0,1,1,0.168,0.509,0.640,0.939,1.157,1.347
55,0,1,0,1,1,1,0.167,0.349,0.405,0.604,0.733,0.839
56,0,0,1,1,1,1,0.164,0.495,0.688,0.980,1.159,1.255
57,1,1,1,1,1,0,0.105,0.384,0.739,1.087,1.188,1.282
58,1,1,1,1,0,1,0.104,0.378,0.584,0.756,0.927,1.118
59,1,1,1,0,1,1,0.173,0.438,0.607,0.742,0.877,1.006
60,1,1,0,1,1,1,0.171,0.472,0.620,0.836,1.046,1.183
61,1,0,1,1,1,1,0.101,0.331,0.605,0.858,1.032,1.126
62,0,1,1,1,1,1,0.171,0.402,0.651,0.916,0.998,1.269
63,1,1,1,1,1,1,0.199,0.458,0.620,0.761,0.912,1.043
