combination,SL68,SL104,SL106,SL187,SL197,SLWC2,t8,t16,t24,t32,t40,t48
1,1,0,0,0,0,0,0.028,0.050,0.115,0.215,0.280,0.397
2,0,1,0,0,0,0,0.341,0.549,0.905,1.074,1.258,1.395
3,0,0,1,0,0,0,0.020,0.135,0.213,0.275,0.345,0.420
4,0,0,0,1,0,0,0.128,0.365,0.439,0.564,0.660,0.787
5,0,0,0,0,1,0,0.057,0.091,0.121,0.282,0.367,0.418
6,0,0,0,0,0,1,0.033,0.123,0.183,0.218,0.279,0.382
7,1,1,0,0,0,0,0.078,0.472,0.699,0.956,1.169,1.310
8,1,0,1,0,0,0,0.027,0.076,0.177,0.337,0.468,0.553
9,1,0,0,1,0,0,0.036,0.103,0.279,0.538,0.770,0.925
10,1,0,0,0,1,0,0.041,0.065,0.155,0.339,0.514,0.672
11,1,0,0,0,0,1,0.026,0.096,0.234,0.407,0.558,0.694
12,0,1,1,0,0,0,0.123,0.465,0.733,0.951,1.173,1.340
13,0,1,0,1,0,0,0.279,0.509,0.704,1.036,1.224,1.408
14,0,1,0,0,1,0,0.103,0.459,0.557,0.848,1.141,1.233
15,0,1,0,0,0,1,0.183,0.492,0.735,0.920,1.126,1.254
16,0,0,1,1,0,0,0.192,0.329,0.439,0.542,0.613,0.718
17,0,0,1,0,1,0,0.033,0.058,0.103,0.191,0.290,0.411
18,0,0,1,0,0,1,0.029,0.159,0.231,0.275,0.337,0.402
19,0,0,0,1,1,0,0.122,0.342,0.434,0.509,0.586,0.649
20,0,0,0,1,0,1,0.126,0.254,0.403,0.470,0.624,0.745
21,0,0,0,0,1,1,0.056,0.135,0.189,0.238,0.324,0.416
22,1,1,1,0,0,0,0.081,0.402,0.619,0.741,0.929,1.091
23,1,1,0,1,0,0,0.093,0.402,0.669,1.000,1.106,1.287
24,1,1,0,0,1,0,0.054,0.235,0.526,0.821,0.876,0.961
25,1,1,0,0,0,1,0.070,0.426,0.660,0.824,1.055,1.297
26,1,0,1,1,0,0,0.059,0.211,0.350,0.496,0.624,0.788
27,1,0,1,0,1,0,0.045,0.165,0.285,0.342,0.436,0.544
28,1,0,1,0,0,1,0.019,0.150,0.248,0.327,0.407,0.520
29,1,0,0,1,1,0,0.056,0.196,0.362,0.612,0.753,0.901
30,1,0,0,1,0,1,0.052,0.207,0.314,0.547,0.680,0.827
31,1,0,0,0,1,1,0.037,0.074,0.212,0.368,0.519,0.681
32,0,1,1,1,0,0,0.221,0.469,0.707,0.924,1.209,1.350
33,0,1,1,0,1,0,0.046,0.207,0.465,0.642,0.748,0.832
34,0,1,1,0,0,1,0.103,0.435,0.628,0.835,1.159,1.369
35,0,1,0,1,1,0,0.206,0.435,0.682,0.889,1.002,1.140
36,0,1,0,1,0,1,0.232,0.519,0.717,0.874,1.062,1.123
37,0,1,0,0,1,1,0.075,0.437,0.599,0.757,1.057,1.215
38,0,0,1,1,1,0,0.073,0.262,0.380,0.482,0.563,0.605
39,0,0,1,1,0,1,0.115,0.233,0.322,0.437,0.549,0.677
40,0,0,1,0,1,1,0.033,0.055,0.165,0.246,0.349,0.442
41,0,0,0,1,1,1,0.076,0.213,0.386,0.469,0.568,0.679
42,1,1,1,1,0,0,0.166,0.427,0.575,0.856,1.053,1.253
43,1,1,1,0,1,0,0.052,0.225,0.513,0.767,0.929,1.030
44,1,1,1,0,0,1,0.052,0.253,0.507,0.733,0.920,1.033
45,1,1,0,1,1,0,0.105,0.469,0.652,0.784,0.954,1.130
46,1,1,0,1,0,1,0.088,0.384,0.568,0.736,0.953,0.982
47,1,1,0,0,1,1,0.056,0.310,0.501,0.804,1.010,1.183
48,1,0,1,1,1,0,0.063,0.279,0.367,0.523,0.648,0.795
49,1,0,1,1,0,1,0.041,0.121,0.306,0.461,0.632,0.772
50,1,0,1,0,1,1,0.036,0.137,0.240,0.363,0.490,0.622
51,1,0,0,1,1,1,0.039,0.100,0.387,0.537,0.713,0.858
52,0,1,1,1,1,0,0.091,0.279,0.532,0.803,0.983,1.188
53,0,1,1,1,0,1,0.167,0.319,0.501,0.826,1.014,1.278
54,0,1,1,0,1,1,0.049,0.257,0.577,0.787,0.997,1.182
55,0,1,0,1,1,1,0.097,0.283,0.546,0.814,1.010,1.056
56,0,0,1,1,1,1,0.068,0.197,0.323,0.412,0.489,0.561
57,1,1,1,1,1,0,0.060,0.210,0.475,0.791,0.957,1.102
58,1,1,1,1,0,1,0.080,0.292,0.515,0.737,0.963,1.093
59,1,1,1,0,1,1,0.047,0.229,0.421,0.700,0.901,1.100
60,1,1,0,1,1,1,0.079,0.323,0.499,0.665,0.901,1.081
61,1,0,1,1,1,1,0.051,0.180,0.293,0.484,0.597,0.694
62,0,1,1,1,1,1,0.073,0.227,0.399,0.686,0.876,1.052
63,1,1,1,1,1,1,0.139,0.357,0.526,0.650,0.772,0.852
