combination,SL68,SL104,SL106,SL187,SL197,SLWC2,t8,t16,t24,t32,t40,t48
1,1,0,0,0,0,0,0.034,0.245,0.434,0.642,0.751,0.772
2,0,1,0,0,0,0,0.380,0.631,0.840,0.988,1.111,1.216
3,0,0,1,0,0,0,0.034,0.169,0.248,0.291,0.322,0.360
4,0,0,0,1,0,0,0.426,0.535,0.700,0.847,1.098,1.186
5,0,0,0,0,1,0,0.307,0.476,0.565,0.658,0.729,0.802
6,0,0,0,0,0,1,0.077,0.141,0.208,0.264,0.349,0.433
7,1,1,0,0,0,0,0.115,0.387,0.808,1.019,1.159,1.275
8,1,0,1,0,0,0,0.034,0.192,0.464,0.617,0.815,1.049
9,1,0,0,1,0,0,0.124,0.206,0.525,0.730,0.897,1.092
10,1,0,0,0,1,0,0.170,0.398,0.514,0.740,0.891,0.980
11,1,0,0,0,0,1,0.050,0.250,0.449,0.646,0.810,0.932
12,0,1,1,0,0,0,0.232,0.434,0.569,0.868,1.090,1.281
13,0,1,0,1,0,0,0.450,0.709,0.978,1.175,1.311,1.412
14,0,1,0,0,1,0,0.141,0.355,0.494,0.624,0.745,0.869
15,0,1,0,0,0,1,0.267,0.474,0.585,0.925,1.133,1.289
16,0,0,1,1,0,0,0.204,0.310,0.396,0.481,0.580,0.749
17,0,0,1,0,1,0,0.118,0.331,0.538,0.672,0.810,0.942
18,0,0,1,0,0,1,0.072,0.169,0.234,0.286,0.351,0.432
19,0,0,0,1,1,0,0.403,0.607,0.789,1.002,1.207,1.412
20,0,0,0,1,0,1,0.185,0.225,0.341,0.439,0.567,0.740
21,0,0,0,0,1,1,0.205,0.353,0.450,0.551,0.644,0.724
22,1,1,1,0,0,0,0.132,0.425,0.630,0.784,0.941,1.094
23,1,1,0,1,0,0,0.189,0.450,0.711,0.913,1.102,1.291
24,1,1,0,0,1,0,0.179,0.528,0.689,0.941,1.142,1.246
25,1,1,0,0,0,1,0.108,0.372,0.586,0.769,0.947,1.131
26,1,0,1,1,0,0,0.123,0.341,0.505,0.628,0.775,0.869
27,1,0,1,0,1,0,0.194,0.344,0.485,0.645,0.783,0.888
28,1,0,1,0,0,1,0.053,0.233,0.400,0.615,0.769,0.854
29,1,0,0,1,1,0,0.270,0.462,0.604,0.774,0.926,0.997
30,1,0,0,1,0,1,0.126,0.344,0.502,0.665,0.809,0.854
31,1,0,0,0,1,1,0.162,0.343,0.461,0.665,0.854,0.940
32,0,1,1,1,0,0,0.265,0.499,0.751,0.953,1.175,1.319
33,0,1,1,0,1,0,0.115,0.436,0.600,0.786,0.922,1.025
34,0,1,1,0,0,1,0.131,0.379,0.514,0.756,0.967,1.066
35,0,1,0,1,1,0,0.361,0.560,0.824,1.064,1.338,1.438
36,0,1,0,1,0,1,0.348,0.588,0.676,0.970,1.148,1.275
37,0,1,0,0,1,1,0.203,0.418,0.629,0.824,0.976,1.093
38,0,0,1,1,1,0,0.287,0.482,0.582,0.695,1.011,1.185
39,0,0,1,1,0,1,0.139,0.252,0.348,0.425,0.521,0.591
40,0,0,1,0,1,1,0.093,0.307,0.427,0.583,0.682,0.780
41,0,0,0,1,1,1,0.266,0.415,0.584,0.729,0.948,1.121
42,1,1,1,1,0,0,0.146,0.413,0.609,0.729,0.857,1.025
43,1,1,1,0,1,0,0.122,0.336,0.646,0.874,1.012,1.138
44,1,1,1,0,0,1,0.123,0.438,0.614,0.738,0.934,1.115
45,1,1,0,1,1,0,0.270,0.578,0.675,1.003,1.155,1.290
46,1,1,0,1,0,1,0.148,0.430,0.627,0.808,0.986,1.156
47,1,1,0,0,1,1,0.130,0.376,0.537,0.686,0.806,0.909
48,1,0,1,1,1,0,0.186,0.491,0.658,0.825,0.957,1.104
49,1,0,1,1,0,1,0.071,0.228,0.425,0.618,0.756,0.868
50,1,0,1,0,1,1,0.129,0.319,0.468,0.611,0.749,0.853
51,1,0,0,1,1,1,0.246,0.383,0.581,0.883,1.073,1.147
52,0,1,1,1,1,0,0.203,0.367,0.671,0.887,1.047,1.281
53,0,1,1,1,0,1,0.212,0.402,0.638,0.833,0.966,1.101
54,0,1,1,0,1,1,0.119,0.277,0.527,0.777,0.893,1.058
55,0,1,0,1,1,1,0.160,0.423,0.591,0.795,1.034,1.196
56,0,0,1,1,1,1,0.192,0.358,0.457,0.611,0.784,0.854
57,1,1,1,1,1,0,0.139,0.404,0.636,0.860,0.993,1.130
58,1,1,1,1,0,1,0.141,0.497,0.602,0.922,1.097,1.289
59,1,1,1,0,1,1,0.175,0.378,0.570,0.679,0.806,0.921
60,1,1,0,1,1,1,0.203,0.411,0.611,0.785,0.925,1.042
61,1,0,1,1,1,1,0.121,0.304,0.450,0.567,0.702,0.806
62,0,1,1,1,1,1,0.142,0.338,0.590,0.736,0.933,1.108
63,1,1,1,1,1,1,0.189,0.423,0.550,0.719,0.872,0.928
